Kd		Rec5Bins2ItN1	UE5Bins2ItN1	Rec5Bins2ItN0	UE5Bins2ItN0	Rec5Bins4ItN1	UE5Bins4ItN1	Rec6Bins2ItN1	UE6Bins2ItN1	Rec7Bins2ItN1	UE7Bins2ItN1
200		0.92293			0.065673		0.93488			0.066997		0.93019			0.064985		0.91562			0.064087		0.91416			0.064649
400		0.96828			0.051292		0.9736			0.052516		0.97094			0.075978		0.96684			0.050423		0.96498			0.050779
600		0.98309			0.045375		0.98612			0.046324		0.98418			0.066832		0.98269			0.04468			0.98263			0.04472
800		nan				nan				nan				nan				nan				nan				0.98825			0.042056		0.98828			0.04243
1040	nan				nan				nan				nan				nan				nan				0.99337			0.038679		0.99359			0.038931
