Kd		Rec5Bins2ItN1	UE5Bins2ItN1	Rec5Bins2ItN0	UE5Bins2ItN0	Rec5Bins4ItN1	UE5Bins4ItN1	Rec6Bins2ItN1	UE6Bins2ItN1	Rec7Bins2ItN1	UE7Bins2ItN1
450		0.94113			0.16064			0.94917			0.1633			0.94607			0.16045			0.9359			0.15737			0.93263			0.15648
700		0.97006			0.14055			0.9739			0.14293			0.97215			0.14033			0.96752			0.13829			0.9661			0.13828
840		0.97445			0.13123			0.97882			0.13384			0.97634			0.13099			0.97339			0.12895			0.97236			0.12915
1100	0.98484			0.11918			0.98734			0.1215			0.98555			0.11901			0.9843			0.11754			0.98361			0.11711
1400	nan				nan				nan				nan				nan				nan				0.99055			0.10834			0.9901			0.10826
#1850	nan				nan				nan				nan				nan				nan				0.99452			0.097435		0.99473			0.097073	
